,temperature,PCA-x,PCA-y,"k1, pred","k1, x","k1, y","k1, 45","k1, centx","k1, centy","k2, pred","k2, x","k2, y","k2, 45","k2, centx","k2, centy","k3, pred","k3, x","k3, y","k3, 45","k3, centx","k3, centy","k4, pred","k4, x","k4, y","k4, 45","k4, centx","k4, centy","k5, pred","k5, x","k5, y","k5, 45","k5, centx","k5, centy","k6, pred","k6, x","k6, y","k6, 45","k6, centx","k6, centy","k7, pred","k7, x","k7, y","k7, 45","k7, centx","k7, centy","k8, pred","k8, x","k8, y","k8, 45","k8, centx","k8, centy","k9, pred","k9, x","k9, y","k9, 45","k9, centx","k9, centy","k10, pred","k10, x","k10, y","k10, 45","k10, centx","k10, centy"
0,10,1,30.676997045375014,0,147.24420012754547,-118.250330433757,2.9877875293955314,3.884300288821881e-14,-1.3974007136615303e-14,0,147.24420012754547,-118.250330433757,2.9877875293955314,102.19694464623552,12.560954201527357,2,147.24420012754547,-118.250330433757,2.9877875293955314,65.37188424021208,121.41017391100647,3,147.24420012754547,-118.250330433757,2.9877875293955314,-175.09554901950864,-12.720576047146016,3,147.24420012754547,-118.250330433757,2.9877875293955314,-175.09554901950864,-12.720576047146016,2,147.24420012754547,-118.250330433757,2.9877875293955314,-173.11168213107305,-12.55848069522518,0,147.24420012754547,-118.250330433757,2.9877875293955314,137.1807520319578,-90.84580452247783,6,147.24420012754547,-118.250330433757,2.9877875293955314,-172.94961251692223,-6.409916448874781,5,147.24420012754547,-118.250330433757,2.9877875293955314,-171.00217619508155,-7.50812417521719,7,147.24420012754547,-118.250330433757,2.9877875293955314,-165.52952561576237,2.4280838533759552
1,20,2,42.906433869663495,0,147.24420012754484,-118.25033043375649,2.9877875293955256,0.0,0.0,0,147.24420012754484,-118.25033043375649,2.9877875293955256,-189.79432577158016,-23.327486374265135,2,147.24420012754484,-118.25033043375649,2.9877875293955256,-189.79432577158016,-23.327486374265135,3,147.24420012754484,-118.25033043375649,2.9877875293955256,57.08571576914176,117.10166135666445,3,147.24420012754484,-118.25033043375649,2.9877875293955256,67.29036228043024,122.67479505352489,2,147.24420012754484,-118.25033043375649,2.9877875293955256,65.37188424021208,121.41017391100647,0,147.24420012754484,-118.25033043375649,2.9877875293955256,65.37188424021208,121.41017391100647,6,147.24420012754484,-118.25033043375649,2.9877875293955256,-229.86960268119662,-51.39280686726225,5,147.24420012754484,-118.25033043375649,2.9877875293955256,-173.15904536718242,-13.388287472374715,7,147.24420012754484,-118.25033043375649,2.9877875293955256,-180.3696994180821,-15.247916751125517
2,30,3,48.032924032023665,0,147.24420012754481,-118.25033043375633,2.987787529395532,0.0,0.0,0,147.24420012754481,-118.25033043375633,2.987787529395532,0.0,0.0,2,147.24420012754481,-118.25033043375633,2.987787529395532,137.1807520319578,-90.84580452247783,3,147.24420012754481,-118.25033043375633,2.987787529395532,-229.86960268119662,-51.39280686726225,3,147.24420012754481,-118.25033043375633,2.987787529395532,-229.86960268119662,-51.39280686726225,2,147.24420012754481,-118.25033043375633,2.987787529395532,143.6945340215131,-113.04798907543055,0,147.24420012754481,-118.25033043375633,2.987787529395532,-172.94961251692223,-6.409916448874781,6,147.24420012754481,-118.25033043375633,2.987787529395532,-171.6645780613294,-10.213434675106658,5,147.24420012754481,-118.25033043375633,2.987787529395532,-206.4841081960457,-29.65228481879719,7,147.24420012754481,-118.25033043375633,2.987787529395532,-182.25630125437095,-18.18255329027681
3,40,4,50.19360407963766,0,147.24420012754484,-118.2503304337563,2.987787529395505,0.0,0.0,0,147.24420012754484,-118.2503304337563,2.987787529395505,0.0,0.0,2,147.24420012754484,-118.2503304337563,2.987787529395505,0.0,0.0,3,147.24420012754484,-118.2503304337563,2.987787529395505,137.1807520319578,-90.84580452247783,3,147.24420012754484,-118.2503304337563,2.987787529395505,137.1807520319578,-90.84580452247783,2,147.24420012754484,-118.2503304337563,2.987787529395505,121.98192738966195,-39.040707232254796,0,147.24420012754484,-118.2503304337563,2.987787529395505,-213.67983799369642,-40.5637156558337,6,147.24420012754484,-118.2503304337563,2.987787529395505,-172.69500997710472,-13.179295267290211,5,147.24420012754484,-118.2503304337563,2.987787529395505,67.29036228043024,122.67479505352489,7,147.24420012754484,-118.2503304337563,2.987787529395505,-171.28916697437222,-11.634757511786072
4,50,5,52.290031010915584,0,147.24420012754484,-118.2503304337563,2.987787529395507,0.0,0.0,0,147.24420012754484,-118.2503304337563,2.987787529395507,0.0,0.0,2,147.24420012754484,-118.2503304337563,2.987787529395507,0.0,0.0,3,147.24420012754484,-118.2503304337563,2.987787529395507,0.0,0.0,3,147.24420012754484,-118.2503304337563,2.987787529395507,-34.75610283245482,66.94345808492044,2,147.24420012754484,-118.2503304337563,2.987787529395507,-165.52952561576237,2.4280838533759552,0,147.24420012754484,-118.2503304337563,2.987787529395507,-171.6645780613294,-10.213434675106658,6,147.24420012754484,-118.2503304337563,2.987787529395507,-206.4841081960457,-29.65228481879719,5,147.24420012754484,-118.2503304337563,2.987787529395507,-229.86960268119662,-51.39280686726225,7,147.24420012754484,-118.2503304337563,2.987787529395507,68.99648540350613,120.83158473580333
5,60,6,54.35218524965293,0,147.2442001275456,-118.25033043375687,2.987787529395547,0.0,0.0,0,147.2442001275456,-118.25033043375687,2.987787529395547,0.0,0.0,2,147.2442001275456,-118.25033043375687,2.987787529395547,0.0,0.0,3,147.2442001275456,-118.25033043375687,2.987787529395547,0.0,0.0,3,147.2442001275456,-118.25033043375687,2.987787529395547,0.0,0.0,2,147.2442001275456,-118.25033043375687,2.987787529395547,-212.8803124606241,-39.35133445171853,0,147.2442001275456,-118.25033043375687,2.987787529395547,-172.69500997710472,-13.179295267290211,6,147.2442001275456,-118.25033043375687,2.987787529395547,68.99648540350613,120.83158473580333,5,147.2442001275456,-118.25033043375687,2.987787529395547,143.6945340215131,-113.04798907543055,7,147.2442001275456,-118.25033043375687,2.987787529395547,-10.408645492256404,95.96542887487755
6,70,7,56.38826964092158,0,147.24420012754484,-118.25033043375629,2.98778752939551,0.0,0.0,0,147.24420012754484,-118.25033043375629,2.98778752939551,0.0,0.0,2,147.24420012754484,-118.25033043375629,2.98778752939551,0.0,0.0,3,147.24420012754484,-118.25033043375629,2.98778752939551,0.0,0.0,3,147.24420012754484,-118.25033043375629,2.98778752939551,0.0,0.0,2,147.24420012754484,-118.25033043375629,2.98778752939551,0.0,0.0,0,147.24420012754484,-118.25033043375629,2.98778752939551,-206.4841081960457,-29.65228481879719,6,147.24420012754484,-118.25033043375629,2.98778752939551,137.1807520319578,-90.84580452247783,5,147.24420012754484,-118.25033043375629,2.98778752939551,-34.75610283245482,66.94345808492044,7,147.24420012754484,-118.25033043375629,2.98778752939551,-226.94641587055278,-48.67524161120412
7,80,8,58.417706081449836,0,147.24420012754481,-118.2503304337563,2.987787529395518,0.0,0.0,0,147.24420012754481,-118.2503304337563,2.987787529395518,0.0,0.0,2,147.24420012754481,-118.2503304337563,2.987787529395518,0.0,0.0,3,147.24420012754481,-118.2503304337563,2.987787529395518,0.0,0.0,3,147.24420012754481,-118.2503304337563,2.987787529395518,0.0,0.0,2,147.24420012754481,-118.2503304337563,2.987787529395518,0.0,0.0,0,147.24420012754481,-118.2503304337563,2.987787529395518,0.0,0.0,6,147.24420012754481,-118.2503304337563,2.987787529395518,-10.408645492256404,95.96542887487755,5,147.24420012754481,-118.2503304337563,2.987787529395518,121.98192738966195,-39.040707232254796,7,147.24420012754481,-118.2503304337563,2.987787529395518,147.24420012754499,-118.25033043375649
8,90,9,60.42175403297937,0,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,0,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,2,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,3,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,3,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,2,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,0,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,6,143.83559539094423,-111.3622387341587,-3.542926719119372,0.0,0.0,5,143.83559539094423,-111.3622387341587,-3.542926719119372,-172.3028101991078,-10.664847104197852,9,143.83559539094423,-111.3622387341587,-3.542926719119372,119.96427267231847,-31.650700694559003
9,100,10,62.41856743806304,0,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,0,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,2,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,3,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,3,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,2,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,0,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,6,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,5,142.84787749542718,-108.65875441346637,-8.632680840616345,0.0,0.0,9,142.84787749542718,-108.65875441346637,-8.632680840616345,137.977153751029,-101.80856335810138
10,110,11,64.40562647656321,0,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,0,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,2,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,3,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,3,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,2,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,0,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,6,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,5,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0,9,141.33652546822668,-108.30958154633134,-9.904759577439322,0.0,0.0
11,120,12,66.38309652012522,0,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,0,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,2,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,3,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,3,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,2,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,0,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,6,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,5,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0,9,138.08556685109315,-108.81462247730903,-10.451984576370553,0.0,0.0
12,130,13,68.33454861790652,0,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,0,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,2,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,3,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,3,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,2,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,0,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,6,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,5,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0,9,135.32829716424365,-104.72423104231243,-15.950385663339754,0.0,0.0
13,140,14,70.27489719124884,0,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,0,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,2,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,3,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,3,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,2,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,0,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,6,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,5,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0,9,132.3360129108887,-94.79977537239802,-2.6349923488918354,0.0,0.0
14,150,15,72.20204695727669,0,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,0,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,2,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,3,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,3,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,3,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,0,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,6,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,7,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0,9,132.0702009763794,-75.99073992073376,32.54302400418496,0.0,0.0
15,160,16,74.12447816885796,0,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,0,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,2,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,3,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,3,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,3,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,0,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,6,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,7,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0,8,126.35607163278256,-63.72680582990566,43.420781658235875,0.0,0.0
16,170,17,75.90990141971064,0,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,0,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,2,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,3,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,3,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,3,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,0,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,6,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,7,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0,8,121.43838926018664,-46.75038191082907,-90.06139775779133,0.0,0.0
17,180,18,77.59028493947368,0,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,0,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,2,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,3,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,3,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,3,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,0,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,6,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,7,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0,8,118.94562593566896,-38.15761843367758,20.614447542113712,0.0,0.0
18,190,19,79.0947350859317,0,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,0,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,2,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,3,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,3,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,3,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,0,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,6,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,7,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0,8,118.22748899128493,-19.574496742862916,30.977965686969398,0.0,0.0
19,200,20,80.50102648954832,0,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,0,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,2,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,3,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,3,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,3,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,0,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,6,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,7,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0,8,114.85378754166925,9.955799444480196,-11.153239466400889,0.0,0.0
20,210,21,81.88501364165307,0,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,0,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,0,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,1,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,1,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,1,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,1,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,5,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,3,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0,4,107.85774385008492,95.77093233566488,7.0514822396831836,0.0,0.0
21,220,22,83.21142745784239,0,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,0,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,0,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,1,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,1,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,1,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,1,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,5,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,3,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0,4,98.30518918263195,110.02471313935008,-4.186448772720125,0.0,0.0
22,230,23,84.48864786393247,0,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,0,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,0,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,1,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,1,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,1,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,1,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,5,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,3,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0,4,98.0733321912764,108.04135803407269,-2.122106491904456,0.0,0.0
23,240,24,85.68411269639739,0,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,0,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,0,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,1,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,1,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,1,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,1,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,5,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,3,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0,4,95.51174068754194,114.58809159210716,-1.4548839139544634,0.0,0.0
24,250,25,86.75706024333095,0,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,0,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,0,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,1,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,1,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,1,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,1,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,5,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,3,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0,4,89.54119727247775,118.46850677298873,0.8191465809377376,0.0,0.0
25,260,26,87.72750182820695,0,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,0,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,0,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,1,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,1,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,1,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,1,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,5,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,3,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0,4,85.49991096265725,122.32949693486812,3.8844007559696117,0.0,0.0
26,270,27,88.63568524613129,0,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,0,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,0,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,1,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,1,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,1,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,1,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,5,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,3,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0,4,81.49437296305753,125.20450068855828,-1.532103766300258,0.0,0.0
27,280,28,89.4498275355042,0,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,0,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,0,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,1,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,1,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,1,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,1,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,5,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,3,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0,4,78.74524080158754,126.11757305512697,-2.395345358897075,0.0,0.0
